🔵 DB Name (A),🟢 Category (B),🟡 Correct Product Name (C),🟡 Brand (D),🟢 VAT% (E),🟢 Base Unit (F),🟢 Base Cost KES (G),🟢 Base Sell KES (H),🟢 Base Stock (I),🟡 Barcode (J),🟢 L1 Pack Name (K),🟠 L1 Qty in Base (L),🟢 L1 Cost KES (M),🟢 L1 Sell KES (N),🟢 L1 Stock (O),🟢 L2 Pack Name (P),🟠 L2 Qty in L1 (Q),🟢 L2 Cost KES (R),🟢 L2 Sell KES (S),🟢 L2 Stock (T),🟡 Reorder Point (U),🟡 Lead Time Days (V),System Notes (W — do not edit)
Low Count Softcare Diapers Large,Baby Care - Diapers,,,16,Carton,1500,2100,0,,,,,,,Carton,,1500,2100,0,,,
Low Count Softcare Diapers Medium,Baby Care - Diapers,,,16,Carton,1500,2100,0,,,,,,,Carton,,1500,2100,0,,,
Low Count Softcare Diapers XL,Baby Care - Diapers,,,16,Carton,1500,2100,0,,,,,,,Carton,,1500,2100,0,,,
LUCOZADE BOOST 12*500ML,Other - General Merchandise,,,16,Box,1015,1500,0,,Box,12,1015,1500,0,,,,,,,,"Name contains ""12*500ML"" — suggests 12 units per pack — pre-filled as L1 qty"
LUCOZADE BOOST 24*250,Other - General Merchandise,,,16,Box,1113,1500,0,,Box,,1113,1500,0,,,,,,,,
LUNCH BAR 23G 24PC,Snacks - Chocolate,,,16,Outer,1400,1500,0,,Outer,24,1400,1500,0,,,,,,,,"Name contains ""24PC"" — suggests 24 units per pack — pre-filled as L1 qty"
LUUL TENDE,Other - General Merchandise,,,16,Carton,1570,1750,0,,,,,,,Carton,,1570,1750,0,,,
LUX SHAWER JEL 12*500ML,Other - General Merchandise,,,16,Piece,458,583,7,,Box,12,5500,7000,0.6,,,,,,,,"Name contains ""12*500ML"" — suggests 12 units per pack — pre-filled as L1 qty"
M RICE,Staples - Rice,,,16,Kilogram (1kg),150,200,0,,,,,,,,,,,,,,
Maahir Long Grain Rice 25Kg,Staples - Rice,,,0,Bag,3900,4000,0,,,,,,,Bag,,3900,4000,0,,,
MAARUF BIRYANI 25KG SB3,Other - General Merchandise,,,0,Bag,2430,4250,0,,,,,,,Bag,,2430,4250,0,,,
MAARUUF RICE 25KG SB3,Staples - Rice,,,0,Bag,3300,2700,0,,,,,,,Bag,,3300,2700,0,,,
MABUYUZ CHILLI BALLS,Condiments - Spices & Chili,,,16,Carton,1550,2000,5.8,,Outer,,78,100,117,Carton,,1550,2000,5.8,,,
Machele Safi Long Grain Rice 25Kg,Staples - Rice,,,16,Bag,1740,2050,0,,,,,,,Bag,,1740,2050,0,,,
MACRUF BASMAT RICE 25KG SB3,Staples - Rice,,,0,Bag,3200,3500,0,,,,,,,Bag,,3200,3500,0,,,
MACRUUF RICE 25KG GREEN SB3,Staples - Rice,,,16,Bale,1946,3000,0,,,,,,,Bale,,1946,3000,0,,,
MACSARO 1LITER,Cooking Oil,,,16,Piece,480,550,0,,,,,,,,,,,,,,
MACSARO LTR-STT,Cooking Oil,,,16,Piece,535,900,108,,,,,,,Jerry Can,,10700,18000,5.4,,,
Macuisine Garlic Mayonnaise 330g,Condiments - Mayonnaise,,,16,Piece,300,375,9,,,,,,,Carton,,3600,4500,0.8,,,
MAGEST YEAST20*450G,Bakery - Ingredients,,,16,Piece,215,225,9,,,,,,,Carton,20,4300,4500,0.5,,,"Name contains ""20*450G"" — suggests 20 units per pack — pre-filled as L2 qty"
MAHA RICE 25KG,Staples - Rice,,,16,Kilogram (1kg),135,120,0,,,,,,,Bag,,3370,4000,0,,,
MAHARAGWE,Other - General Merchandise,,,16,Kilogram (1kg),105,115,0,,,,,,,,,,,,,,
Mahbub Long Grain Rice 10Kg,Staples - Rice,,,0,Kilogram (10kg),2300,1800,0,,,,,,,Bag,,9200,6500,0,,,
Mahbub Long Grain Rice 8Kg,Staples - Rice,,,0,Piece,1150,1250,0,,,,,,,Bag,,9200,10000,0,,,
MAHIR RICE 25KGSTT,Staples - Rice,,,0,Kilogram,142,5000,0,,,,,,,Bag,,3550,125000,0,,,
MAHRAJA RICE 25KG SB3,Staples - Rice,,,16,Kilogram (1kg),118,124,0,,,,,,,Bag,,2950,3100,0,,,
MAJANI BORA  250GR,Beverages - Tea,,,16,Piece,75,100,259,,,,,,,Carton,,3000,3500,6.5,,,
MAJANI BORA 20*50,Beverages - Tea,,,16,Carton,2100,2800,0,,Outer,,105,140,0,Carton,,2100,2800,0,,,
MAJANI BORA 40*250GM,Beverages - Tea,,,16,Piece,64,100,0,,,,,,,,,,,,,,
MAJANI BORA 500GR,Beverages - Tea,,,16,Piece,150,200,174,,,,,,,Carton,,3000,3500,8.7,,,
MAJI  4 X 5LTR PACIFIC,Beverages - Water,,,16,Carton,331,420,0,,,,,,,Carton,4,331,420,0,,,"Name contains ""4 X 5L"" — suggests 4 units per pack — pre-filled as L2 qty"
MAJI 24*300ML,Beverages - Water,,,16,Carton,280,350,2,,,,,,,Carton,24,280,350,2,,,"Name contains ""24*300ML"" — suggests 24 units per pack — pre-filled as L2 qty"
MAJI 24*500ML,Beverages - Water,,,16,Box,280,350,7,,Box,24,280,350,7,,,,,,,,"Name contains ""24*500ML"" — suggests 24 units per pack — pre-filled as L1 qty"
MAJI 5*4 LTR  AMIIN,Beverages - Water,,,16,Box,280,500,0,,Box,5,280,500,0,,,,,,,,"Name contains ""5*4 L"" — suggests 5 units per pack — pre-filled as L1 qty"
MAJI GLACIER 1.5LTR,Beverages - Water,,,16,Carton,360,500,9,,,,,,,Carton,,360,500,9,,,
MAJI GLACIER 500ML,Beverages - Water,,,16,Carton,380,500,7,,,,,,,Carton,,380,500,7,,,
MAJI GLACIER 5LTR,Beverages - Water,,,16,Carton,360,400,114,,,,,,,Carton,,360,400,114,,,
MAK-C 6*2.5KG,Staples - Flour & Ugali,,,0,Piece,1200,1250,3,,,,,,,Carton,6,7200,7500,0.5,,,"Name contains ""6*2.5KG"" — suggests 6 units per pack — pre-filled as L2 qty"
MAKAROMA BIG  20*500G,Staples - Pasta & Noodles,,,16,Piece,90,100,842,,,,,,,Carton,20,1800,2000,42.1,,,"Name contains ""20*500G"" — suggests 20 units per pack — pre-filled as L2 qty"
MAKAROMA SMALL 20*500G,Staples - Pasta & Noodles,,,16,Piece,90,125,224,,,,,,,Carton,20,1800,2500,11.2,,,"Name contains ""20*500G"" — suggests 20 units per pack — pre-filled as L2 qty"
MAKAROMA SP 20* 500G STT,Staples - Pasta & Noodles,,,16,Piece,95,,736,,,,,,,Carton,20,1900,2000,36.8,,,"Name contains ""20* 500G"" — suggests 20 units per pack — pre-filled as L2 qty"
MALAB ORIGINAL,Other - General Merchandise,,,16,Litre,1500,2000,0,,,,,,,,,,,,,,
MALIKA AL JAMAL,Condiments - Honey & Spreads,,,16,Piece,850,900,0,,,,,,,,,,,,,,
MAMA CHOICE ORGINAL,Other - General Merchandise,,,0,Kilogram (1kg),89,140,3,,,,,,,Bale,,1789,2800,0.2,,,
MAMMOUL DATES 10*35G,Snacks - Dates,,,16,Box,2975,3500,0,,Box,10,2975,3500,0,,,,,,,,"Name contains ""10*35G"" — suggests 10 units per pack — pre-filled as L1 qty"
MAMMOUL DATES 12*18G,Snacks - Dates,,,16,Box,3264,3550,0,,Box,12,3264,3550,0,,,,,,,,"Name contains ""12*18G"" — suggests 12 units per pack — pre-filled as L1 qty"
MANAAL PERFUM,Other - General Merchandise,,,16,Piece,1150,1500,1,,,,,,,,,,,,,,
Mandi Long Grain Rice,Staples - Rice,,,0,Bag,2850,4000,0,,,,,,,Bag,,2850,4000,0,,,
Mandolin Chocolate 13.5g,Beverages - Soda,,,16,Piece,251,700,1,,,,,,,,,,,,,,
MANELA CAKE BIG 6*24,Snacks - Cakes & Donuts,,,16,Piece,617,667,19,,,,,,,Carton,,3700,4000,3.2,,,
MANELA CAKE SMALL 6*24,Snacks - Cakes & Donuts,,,16,Piece,467,500,13,,,,,,,Carton,,2800,3000,2.2,,,
MARA MOJA STT,Staples - Flour & Ugali,,,0,Outer,335,350,14,,Outer,,335,350,14,,,,,,,,
Maria Pure Vegetable Cooking Oil 500ml,Cooking Oil,,,16,Piece,170,250,0,,,,,,,Carton,,3300,3500,0,,,
MARJAN RICE,Staples - Rice,,,16,Kilogram (1kg),105,110,0,,,,,,,,,,,,,,
MARJAN RICE25KG,Staples - Rice,,,16,Bag,3200,4000,0,,,,,,,Bag,,3200,4000,0,,,
MARYAM LOTOIN,Other - General Merchandise,,,16,Piece,280,600,0,,,,,,,,,,,,,,
Masafi Bar Soap 1Kg,Personal Care - Soap,,,16,Carton,620,690,0,,,,,,,Carton,,620,690,0,,,
MAVERA CHOCOLATE 700G,Beverages - Soda,,,16,Piece,600,5000,4,,,,,,,Carton,,3600,5000,0.7,,,
MAX 6*2.5G-STT,Staples - Flour & Ugali,,,16,Piece,833,1333,46,,,,,,,Carton,6,5000,8000,7.7,,,"Name contains ""6*2.5G"" — suggests 6 units per pack — pre-filled as L2 qty"
MAYONAISE TREATMANTE,Condiments - Mayonnaise,,,16,Piece,294,333,1,,,,,,,Carton,,7055,8000,0,,,
MAYONAYS 473-STT,Condiments - Mayonnaise,,,16,Piece,227,275,34,,,,,,,Carton,,2719,3300,2.8,,,
MAYONAYS 946 ML-STT,Condiments - Mayonnaise,,,16,Piece,375,400,5,,,,,,,Carton,,4500,4500,0.4,,,
MAYONNAISE MAYOLIV,Condiments - Mayonnaise,,,16,Piece,300,375,17,,,,,,,Carton,,3600,4500,1.4,,,
MAYONNAISE RED PEP,Condiments - Mayonnaise,,,16,Piece,310,375,0,,,,,,,Carton,,3720,4500,0,,,
MELDA M BIG-STT,Staples - Pasta & Noodles,,,16,Piece,102,150,0,,,,,,,Carton,,2050,2300,0,,,
MELDA M CIDI -STT,Staples - Pasta & Noodles,,,16,Piece,102,65,0,,,,,,,Carton,,2050,2150,0,,,
MELDA M SMOL-STT,Staples - Pasta & Noodles,,,16,Piece,102,108,0,,,,,,,Carton,,2050,2150,0,,,
MELDA SP,Other - General Merchandise,,,16,Carton,1300,1500,0,,,,,,,Carton,,1300,1500,0,,,
Menengai Cream Bar Soap 1Kg,Dairy - Cream & Whipping,,,16,Piece,200,200,97,,,,,,,Carton,,4000,4800,4.8,,,
Menengai Cream Bar Soap 800g,Dairy - Cream & Whipping,,,16,Carton,4000,5000,1,,,,,,,Carton,,4000,5000,1,,,
MENENGI 800GSTT,Other - General Merchandise,,,16,Piece,160,180,2.5,,,,,,,Carton,,4000,4800,0.1,,,
Mentos Pure Fresh Chewing Gum 10 Pieces,Snacks - Candy & Sweets,,,16,Carton,7000,6800,0,,Packet,10,194,220,0,Carton,,7000,6800,0,,,"Name contains ""10 Pieces"" — suggests 10 units per pack — pre-filled as L1 qty"
MERO HONEY 80*30G,Condiments - Honey & Spreads,,,16,Box,1100,1500,0,,Box,80,1100,1500,0,,,,,,,,"Name contains ""80*30G"" — suggests 80 units per pack — pre-filled as L1 qty"
Miksi Whole Milk Powder 2.5Kg,Dairy - Milk,,,16,Piece,1200,2000,0,,,,,,,Carton,,4800,6000,0,,,
MIL CHILI 5LITER,Condiments - Spices & Chili,,,16,Piece,212,300,0,,,,,,,,,,,,,,
MILANO DONUT 6*24PCS,Snacks - Cakes & Donuts,,,16,Piece,617,833,0,,,,,,,Carton,24,3700,5000,0,,,"Name contains ""24PCS"" — suggests 24 units per pack — pre-filled as L2 qty"
MILCO 12*115,Other - General Merchandise,,,16,Outer,340,400,0,,Outer,,340,400,0,,,,,,,,
MILCO CAPPUCINO,Beverages - Coffee,,,16,Outer,165,188,0,,Outer,,165,188,0,,,,,,,,
MILCO TOFFEE 24*50P-STT,Snacks - Candy & Sweets,,,0,Piece,225,250,25,,,,,,,Carton,50,5400,5600,1,,,"Name contains ""*50P"" — suggests 50 units per pack — pre-filled as L2 qty"
Milele Bar Soap 250g,Personal Care - Soap,,,16,Piece,60,200,0,,,,,,,Carton,,1430,4800,0,,,
MILELE BLACK 24*250G,Staples - Flour & Ugali,,,16,Piece,69,71,0,,,,,,,Carton,24,1660,1700,0,,,"Name contains ""24*250G"" — suggests 24 units per pack — pre-filled as L2 qty"
Milk Biscuits 4 Pieces,Dairy - Milk,,,16,Carton,250,300,0,,,,,,,Carton,4,250,300,0,,,"Name contains ""4 Pieces"" — suggests 4 units per pack — pre-filled as L2 qty"
MILK SHAKE UJI 2KG,Breakfast - Cereals,,,16,Piece,400,467,0,,Box,,2400,2800,0,,,,,,,,
MILK STICK AND CHOLE 100P,Dairy - Milk,,,16,Outer,800,1200,0,,Outer,,800,1200,0,,,,,,,,
MILKSJAR BISCUIT 72,Dairy - Milk,,,16,Box,230,270,0,,Box,,230,270,0,,,,,,,,
MILKSTAR BISCUIT 24*45G,Dairy - Milk,,,16,Box,185,230,0,,Box,24,185,230,0,,,,,,,,"Name contains ""24*45G"" — suggests 24 units per pack — pre-filled as L1 qty"
MILO 400-STT,Beverages - Malt & Cocoa Drinks,,,16,Piece,492,425,12,,,,,,,Carton,,11800,13000,0.5,,,
MILO NESTLE 12*200G,Beverages - Malt & Cocoa Drinks,,,16,Piece,217,375,0,,,,,,,Carton,12,2600,4500,0,,,"Name contains ""12*200G"" — suggests 12 units per pack — pre-filled as L2 qty"
Minute Maid Juice Multi 4 Pack 1l,Beverages - Juice & Drinks,,,16,Carton,780,850,75,,,,,,,Carton,,780,850,75,,,
MINUTES MAID 1LT,Snacks - Nuts,,,16,Piece,1570,1600,0,,,,,,,,,,,,,,
MIRRA CHOCOLATE 35G,Beverages - Soda,,,16,Carton,500,5000,0,,Outer,,83,200,0,Carton,,500,5000,0,,,
MISKI COMBRA,Other - General Merchandise,,,16,Piece,120,250,0,,Dozen (12),,1440,2000,0,,,,,,,,
MISS PERFECT PERFUME,Personal Care - Perfume,,,16,Piece,900,1500,0,,,,,,,,,,,,,,
MISS WEDY OIL 18ML,Cooking Oil,,,16,Piece,150,300,0,,,,,,,,,,,,,,
Mohamud Long Grain Rice 10Kg,Staples - Rice,,,0,Kilogram (10kg),2389,2750,23,,,,,,,Bag,,9557,11000,5.8,,,
MOHAMUUD 25KG STT,Other - General Merchandise,,,0,Kilogram (1kg),250,290,16.8,,,,,,,Bag,,5741,6500,27,,,
MOLFIX 3*72P NO 2,Baby Care - Diapers,,,16,Piece,983,1333,32,,Box,72,2950,4000,10.7,,,,,,,,"Name contains ""*72P"" — suggests 72 units per pack — pre-filled as L1 qty"
MOLFIX NO 3,Baby Care - Diapers,,,16,Piece,983,2900,46,,,,,,,Carton,,2950,8700,15.3,,,
MOLFIX NO 4,Baby Care - Diapers,,,16,Piece,981,1100,77,,,,,,,Carton,,2942,3500,25.7,,,
MOLFIX NO 5,Baby Care - Diapers,,,16,Piece,983,1167,50,,,,,,,Carton,,2950,3500,16.7,,,
MOLFIX NO 6,Baby Care - Diapers,,,16,Piece,983,1333,35,,,,,,,Carton,,2950,4000,11.7,,,
Molfix Pants Maxi Jumbo 15Kg 56PC,Baby Care - Diapers,,,16,Piece,1131,1200,96,,,,,,,Carton,56,3394,3500,32,,,"Name contains ""56PC"" — suggests 56 units per pack — pre-filled as L2 qty"
"MOM,S MACARONI BIG",Staples - Pasta & Noodles,,,16,Piece,70,1500,0,,,,,,,Carton,,1400,1550,0,,,
"MOM,S MACARONI SMOLL 500G",Staples - Pasta & Noodles,,,16,Piece,88,120,0,,,,,,,Carton,,1750,2000,0,,,
MONDO SP,Other - General Merchandise,,,16,Piece,50,60,0,,,,,,,,,,,,,,
MONDO SP 500G STT,Staples - Pasta & Noodles,,,16,Piece,92,100,0,,,,,,,Carton,,1850,2000,0,,,
Monster Original Energy Drink 500ml Pack 4,Beverages - Juice & Drinks,,,16,Carton,450,500,0,,,,,,,Carton,,450,500,0,,,
MOOZY JUICE 200 ML STT,Beverages - Juice & Drinks,,,16,Box,680,780,0,,Box,,680,780,0,,,,,,,,
MOPLE RICE25KG,Staples - Rice,,,16,Bag,2000,2300,0,,,,,,,Bag,,2000,2300,0,,,
MORNING FRESH 12*400G,Other - General Merchandise,,,16,Piece,175,208,0,,,,,,,Carton,12,2100,2500,0,,,"Name contains ""12*400G"" — suggests 12 units per pack — pre-filled as L2 qty"
MORNING FRESH 12*800G,Other - General Merchandise,,,16,Piece,350,500,43,,,,,,,Carton,12,4200,4000,3.6,,,"Name contains ""12*800G"" — suggests 12 units per pack — pre-filled as L2 qty"
Morning Harvest Choco Rice 250g,Staples - Rice,,,16,Carton,2400,3000,0,,Packet,,200,250,0,Carton,,2400,3000,0,,,
Morning Harvest Superfast White Oats 500g,Breakfast - Cereals,,,16,Piece,300,450,0,,,,,,,Carton,,3600,4500,0,,,
MOUNT KENYA 18*500ML,Beverages - Juice & Drinks,,,0,Box,850,1050,0,,Box,18,850,1050,0,,,,,,,,"Name contains ""18*500ML"" — suggests 18 units per pack — pre-filled as L1 qty"
MOUNT KENYA 21*200ML,Beverages - Juice & Drinks,,,0,Carton,450,450,0,,,,,,,Carton,21,450,450,0,,,"Name contains ""21*200ML"" — suggests 21 units per pack — pre-filled as L2 qty"
Mountain Dew Citrus Soda 2L,Beverages - Soda,,,16,Box,1030,1500,0,,Box,,1030,1500,0,,,,,,,,
MR BERY GUM20*50P-STT,Snacks - Candy & Sweets,,,16,Piece,66,110,0,,,,,,,Carton,50,1320,1380,0,,,"Name contains ""*50P"" — suggests 50 units per pack — pre-filled as L2 qty"
MR DOHA 25KG,Other - General Merchandise,,,16,Bag,2620,2750,0,,,,,,,Bag,,2620,2750,0,,,
MR FRESH JUICE,Beverages - Juice & Drinks,,,16,Box,250,350,0,,Box,,250,350,0,,,,,,,,
Mr One Fruit Juice 200ml,Beverages - Juice & Drinks,,,16,Carton,750,1000,0,,,,,,,Carton,,750,1000,0,,,
MR RIGHT RICE SB3,Staples - Rice,,,0,Bag,2330,2500,0,,,,,,,Bag,,2330,2500,0,,,
MUFALMI OIL 10LTR STT,Cooking Oil,,,16,Piece,2930,3000,0,,,,,,,,,,,,,,
MUHSIN RICE 25KG STT,Staples - Rice,,,16,Kilogram (1kg),134,200,0,,,,,,,Bag,,3350,3500,0,,,
MUHSIN RICE 4*10KG,Staples - Rice,,,0,Piece,1625,1750,0,,,,,,,Bag,4,6500,7000,0,,,"Name contains ""4*10KG"" — suggests 4 units per pack — pre-filled as L2 qty"
MUNIIR 25KG SB3,Staples - Flour & Ugali,,,0,Bag,3900,4500,1.5,,,,,,,Bag,,3900,4500,1.5,,,
Muniir Long Grain Rice 25Kg,Staples - Rice,,,0,Kilogram,156,200,299.2,,,,,,,Bag,,3900,5000,12,,,
MUSHTAQ RICE 25KG,Staples - Rice,,,16,Bag,3300,3600,0,,,,,,,Bag,,3300,3600,0,,,
MUZEON GRAY PERFUME,Personal Care - Perfume,,,16,Piece,1100,1500,1,,,,,,,,,,,,,,
MY KING CAKE 6*24,Snacks - Cakes & Donuts,,,16,Piece,500,1000,42,,,,,,,Carton,,3000,3500,7,,,
MY TEA 12*340G,Beverages - Tea,,,16,Piece,242,300,0,,,,,,,Carton,12,2900,3200,0,,,"Name contains ""12*340G"" — suggests 12 units per pack — pre-filled as L2 qty"
MY TEA 12*500G,Beverages - Tea,,,16,Piece,338,500,0,,,,,,,Carton,12,4050,5000,0,,,"Name contains ""12*500G"" — suggests 12 units per pack — pre-filled as L2 qty"
Mzuri Long Grain Rice 25Kg,Staples - Rice,,,0,Kilogram (1kg),144,156,0,,,,,,,Bag,,3600,3900,0,,,
N R M 2.5 -STT,Staples - Flour & Ugali,,,0,Piece,2533,2700,0,,,,,,,Carton,,15200,15500,0,,,
NACET SAKIN 20*5,Other - General Merchandise,,,16,Outer,756,850,0,,Outer,,756,850,0,,,,,,,,
NADIIF CLOUR 5LITER,Other - General Merchandise,,,16,Piece,300,450,0,,,,,,,,,,,,,,
NADIIF WHITE 1LTR,Other - General Merchandise,,,16,Piece,68,150,0,,,,,,,,,,,,,,
NADIIF WHITE 1LTR-STT,Other - General Merchandise,,,16,Piece,58,850,0,,,,,,,Carton,,700,10200,0,,,
Nadoo Fruit Juice,Beverages - Juice & Drinks,,,16,Box,580,700,0,,Box,,580,700,0,,,,,,,,
Naim Herbal Cooking Oil,Cooking Oil,,,16,Piece,1100,1200,0,,,,,,,,,,,,,,
NAJAH RICE 25KGSTT,Staples - Rice,,,0,Kilogram,156,200,383,,,,,,,Bag,,3892,4050,15.3,,,
NAJAH UJI 2KG,Breakfast - Cereals,,,0,Piece,375,392,13,,,,,,,Carton,,2250,2350,2.2,,,
NANO SP 500G -STT,Staples - Pasta & Noodles,,,16,Piece,90,150,0,,,,,,,Carton,,1800,2000,0,,,
NAPULITANA SP,Other - General Merchandise,,,16,Carton,1000,1200,0,,,,,,,Carton,,1000,1200,0,,,
NAPULITANO 500G,Other - General Merchandise,,,16,Piece,45,60,0,,,,,,,,,,,,,,
Nash Tomato Paste 5L,Tomato Paste & Sauce,,,16,Piece,188,250,2,,,,,,,Carton,,750,3500,0.5,,,
NASRI ORGANIC HAIR,Other - General Merchandise,,,16,Piece,1500,1850,0,,,,,,,,,,,,,,
Nataraj Pencil,Stationery,,,16,Piece,57,100,176,,Outer,,680,1250,14.7,,,,,,,,
Natures Own Fish Masala 250G,Canned & Preserved - Fish,,,0,Piece,90,150,54,,,,,,,,,,,,,,
NAWAYA ATAR,Other - General Merchandise,,,16,Piece,850,850,0,,,,,,,,,,,,,,
NBC4 PARFUM,Other - General Merchandise,,,16,Roll Bundle,900,1500,1,,Roll Bundle,,900,1500,1,,,,,,,,
NC MACARONI 500G STT,Staples - Pasta & Noodles,,,16,Piece,88,100,0,,,,,,,Carton,,1750,2000,0,,,
NC SP 500G STT,Staples - Pasta & Noodles,,,16,Piece,88,100,0,,,,,,,Carton,,1750,2000,0,,,
NDOVU NGANO 12*2KG SB3,Staples - Flour & Ugali,,,16,Bale,1480,1300,0,,,,,,,Bale,12,1480,1300,0,,,"Name contains ""12*2KG"" — suggests 12 units per pack — pre-filled as L2 qty"
NDOVU NGANO 24*1KG,Staples - Flour & Ugali,,,16,Bale,1285,1310,0,,,,,,,Bale,24,1285,1310,0,,,"Name contains ""24*1KG"" — suggests 24 units per pack — pre-filled as L2 qty"
NECTA FRESH  5LTR,Other - General Merchandise,,,16,Carton,730,850,0,,,,,,,Carton,,730,850,0,,,
NESCAFE 24*100 GM,Beverages - Coffee,,,16,Piece,442,479,0,,,,,,,Carton,24,10600,11500,0,,,"Name contains ""24*100 G"" — suggests 24 units per pack — pre-filled as L2 qty"
NESCAFE 50G,Beverages - Coffee,,,16,Piece,295,400,1,,,,,,,Carton,,7080,8500,0,,,
NESCOFE 200GM-STT,Beverages - Coffee,,,16,Piece,875,1000,17,,,,,,,Carton,,10500,11500,1.4,,,
NESCOFE6*1.6G-STT,Beverages - Coffee,,,16,Carton,3800,4200,28.8,,Outer,6,633,750,173,Carton,,3800,4200,28.8,,,"Name contains ""6*1.6G"" — suggests 6 units per pack — pre-filled as L1 qty"
Nestle NAN 1 Infant Formula 0-6 Months,Baby Care - Infant Formula,,,16,Piece,1475,1667,45,,,,,,,Carton,,17700,20000,3.8,,,
Nestle NAN 1 Infant Formula 800g,Baby Care - Infant Formula,,,0,Piece,1350,1500,96,,,,,,,Carton,,16200,18000,8,,,
Nestle NAN 2 Follow On Formula 6-12 Months,Baby Care - Infant Formula,,,0,Piece,1442,1542,10,,,,,,,Carton,,17300,18500,0.8,,,
Nestle NAN 2 Follow On Formula 800g,Baby Care - Infant Formula,,,0,Piece,1333,1667,1,,,,,,,Carton,,16000,20000,0.1,,,
Nestle NAN Infant Formula,Baby Care - Infant Formula,,,0,Piece,2633,2833,0,,,,,,,Carton,,13700,14000,0,,,
NEW HIAR,Personal Care - Hair Care,,,16,Kilogram (10kg),500,1000,0,,Box,,500,1000,0,Bag,,500,1000,0,,,
NGANO DUNIA 12*2KG SB3,Staples - Flour & Ugali,,,16,Bale,1830,2000,0,,,,,,,Bale,12,1830,2000,0,,,"Name contains ""12*2KG"" — suggests 12 units per pack — pre-filled as L2 qty"
NGANO DUNIA 12*2KG STT,Staples - Flour & Ugali,,,16,Bale,1820,2000,0,,,,,,,Bale,12,1820,2000,0,,,"Name contains ""12*2KG"" — suggests 12 units per pack — pre-filled as L2 qty"
NGANO DUNIA 24*1KG SB3,Staples - Flour & Ugali,,,16,Bale,1520,2000,0,,,,,,,Bale,24,1520,2000,0,,,"Name contains ""24*1KG"" — suggests 24 units per pack — pre-filled as L2 qty"
NGANO DUNIA 24*1KG STT,Staples - Flour & Ugali,,,16,Bale,1840,2000,0,,,,,,,Bale,24,1840,2000,0,,,"Name contains ""24*1KG"" — suggests 24 units per pack — pre-filled as L2 qty"
NICE MILK 6*2.5KG,Dairy - Milk,,,0,Piece,2250,2750,0,,,,,,,Carton,6,13500,16500,0,,,"Name contains ""6*2.5KG"" — suggests 6 units per pack — pre-filled as L2 qty"
NICE ONE 2U -STT,Other - General Merchandise,,,16,Carton,1800,2500,0,,Outer,,360,500,0,Carton,,1800,2500,0,,,
NICE ONE 2U OUT,Other - General Merchandise,,,16,Outer,400,500,0,,Outer,,400,500,0,,,,,,,,
NIDO2.5,Other - General Merchandise,,,16,Piece,3250,3400,0,,,,,,,Carton,,19500,22000,0,,,
NILE SERVIETE 18PCS,Household - Paper Products,,,16,Carton,980,1050,21,,,,,,,Carton,18,980,1050,21,,,"Name contains ""18PCS"" — suggests 18 units per pack — pre-filled as L2 qty"
NILE TISSUE TISH LUCUO 40,Household - Paper Products,,,16,Carton,510,600,0,,,,,,,Carton,,510,600,0,,,
Nivea Body Lotion,Personal Care - Skin Care,,,16,Piece,441,500,33,,,,,,,,,,,,,,
NNC OIL 12*500G,Cooking Oil,,,16,Piece,179,250,0,,,,,,,Carton,12,2150,2550,0,,,"Name contains ""12*500G"" — suggests 12 units per pack — pre-filled as L2 qty"
NOLA SP 2*400GM,Staples - Pasta & Noodles,,,16,Carton,570,580,0,,,,,,,Carton,2,570,580,0,,,"Name contains ""2*400G"" — suggests 2 units per pack — pre-filled as L2 qty"
NOLA SP 20*500 SB3,Staples - Pasta & Noodles,,,16,Carton,1170,650,0,,,,,,,Carton,,1170,650,0,,,
NOLLA SP 500G  SP,Staples - Pasta & Noodles,,,16,Carton,600,65,0,,,,,,,Carton,,600,65,0,,,
NOORA ATAR,Other - General Merchandise,,,16,Piece,570,1000,0,,,,,,,,,,,,,,
Novi Black Beans 400G,Staples - Pulses & Legumes,,,16,Piece,67,104,419,,,,,,,Carton,,2400,3600,0,,,
NOW PARFUM,Other - General Merchandise,,,16,Piece,1450,2000,1,,,,,,,,,,,,,,
Nucream Chocolate Cream 750g,Beverages - Soda,,,16,Piece,500,5000,0,,,,,,,Carton,,3000,5000,0,,,
Nuna Baby Wipes,Baby Care - Infant Formula,,,16,Carton,1360,2720,0,,Outer,,170,340,0,Carton,,1360,2720,0,,,
NUNA CERELAC 400G,Baby Care - Infant Formula,,,16,Piece,500,1500,2,,,,,,,Carton,,6000,18000,0.2,,,
Nuna Stage 1 Infant Formula,Baby Care - Infant Formula,,,16,Piece,1500,2375,1,,Box,,6000,9500,0.3,,,,,,,,
Nuna Stage 3 Infant Formula,Baby Care - Infant Formula,,,16,Piece,1500,2000,0,,Box,,6000,7000,0,,,,,,,,
Nuna Stage 4 Infant Formula,Baby Care - Infant Formula,,,16,Piece,1500,1600,10,,,,,,,Carton,,6000,8000,2.5,,,
Nuna Stage 5 Infant Formula,Baby Care - Infant Formula,,,16,Piece,1500,1600,7,,,,,,,Carton,,6000,8000,1.8,,,
NUNA XXL 4*46,Baby Care - Infant Formula,,,16,Piece,1750,8000,0,,,,,,,Carton,,7000,8000,0,,,
NURA ATTAR,Other - General Merchandise,,,16,Piece,750,1000,0,,,,,,,,,,,,,,
